id,url,handle,comment_count,comment
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@ryu @Kazuha i wanna go back so much
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I wish to visit soon 🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@anna xox AHHHH NEXT YEARR
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,"Hye, i wanna ask if i arrive in sg at night around 12am..may i know how to go the the center of attraction? Mrt will be closed right?"
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Love this list! 🙌🏽🙌🏽
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,already miss singapore @bestiemu 🥺
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,can i have the adress for the rooftop level 33 please 🙏🏼 🥰?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@egynaa_ marijo 😳
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,"Incredible list, just been and loved it"
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Welcome to Singapore ❤️
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,tomorrow i left sg
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,See u tomorrow sg
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,See you soon sg!
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,see u this weekend SG🥺
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Omg we love this! Download our travel app and make sure to add these spots
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@John Chris Bien omg boo look oh! isso pretty!
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,super city to visit
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Breathtaking!
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Will we go here again🥲😭 @ainalovelovelovesH ×͜×
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I have been everywhere in Singapore cause I have basically been living my life here
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Its really stunning 🥰🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,🥰🥰😂😂beautiful
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I miss Sg! 🩵
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Are all of these locations at the airport?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@DrewNee Dragz saved! Lawa
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,soon in Gods perfect time 🙏🏻❤️
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,that greenery on the outside of the building as decoration is so beautiful
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,So beautiful country how can i living sg
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,@chloe nothing like this in the uk
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,YESSS LOVE SINGAPOEE
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,@_alexisglopez @nxthaliaab @evany906 SEE
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,@Soph😍 what the heck there is a literally lake going through we have to go
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,wow
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,Not so interesting in real life. Just shopping malls
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,@Louise omg
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,@TullyBurke it’s so good
3_cmt,https://www.tiktok.com/@aktravelss/video/7208911518451223813,aktravelss,11.7K,@sarah I’m goingggg
